Ethnicity,Age,Gender,SocioeconomicStatus,Region,Outcome
Black,58,Male,High,London,0
Mixed,46,Male,Medium,North,1
Mixed,52,Male,Medium,South,0
Asian,67,Male,Low,London,0
Mixed,51,Male,Medium,South,1
Asian,21,Male,High,London,1
White,62,Female,High,London,1
Asian,66,Male,Low,London,1
Black,26,Female,Low,South,0
Mixed,68,Female,High,South,1
Asian,31,Male,High,London,1
White,62,Male,Medium,London,1
White,22,Female,Medium,North,1
White,67,Female,High,North,0
Mixed,64,Male,Medium,South,0
Mixed,44,Male,Low,South,1
Mixed,28,Male,Medium,South,0
Asian,47,Female,Medium,North,1
White,68,Female,Low,London,1
Mixed,54,Male,High,London,0
Mixed,56,Male,Medium,North,0
White,51,Male,Medium,North,0
Mixed,68,Female,Medium,South,0
Asian,41,Female,Low,London,0
Mixed,33,Female,High,London,0
White,47,Male,High,North,0
Mixed,41,Female,Low,South,0
White,20,Male,High,South,0
Black,46,Female,Medium,London,1
Asian,59,Male,Medium,South,1
Asian,29,Female,Low,North,0
Asian,44,Male,Medium,North,0
Black,46,Female,Medium,North,0
White,19,Male,Medium,North,0
Black,46,Male,Low,North,1
White,57,Male,Low,North,0
White,26,Female,High,North,0
Black,69,Male,Low,London,1
White,61,Male,Low,London,1
Mixed,45,Male,Low,South,1
Mixed,54,Male,Medium,South,0
Black,40,Male,Medium,North,1
Asian,30,Male,Medium,London,1
White,22,Male,Low,London,1
Mixed,49,Male,High,London,1
White,45,Female,High,London,1
Mixed,32,Male,High,North,1
White,41,Female,Low,South,0
Asian,49,Male,Low,London,0
Black,38,Female,Medium,South,1
Mixed,22,Male,Low,South,1
White,54,Female,Low,London,1
Asian,53,Male,Low,North,0
Mixed,45,Male,High,London,0
White,49,Male,Medium,North,0
White,40,Male,Low,London,1
White,33,Male,High,North,0
Black,67,Male,High,North,1
Mixed,27,Female,Medium,London,1
Mixed,46,Male,Low,London,0
Asian,69,Male,Medium,London,1
White,44,Female,Medium,North,1
Asian,52,Female,Medium,South,0
White,59,Male,High,London,0
Asian,62,Female,Low,North,1
Black,41,Male,High,North,0
White,40,Male,Medium,London,1
Black,20,Male,High,North,1
Mixed,53,Male,Medium,London,0
Mixed,62,Male,Low,South,0
Asian,31,Male,Low,North,0
Asian,21,Male,Medium,London,0
Asian,61,Female,High,North,1
Mixed,65,Female,High,North,1
Mixed,59,Female,High,North,0
Mixed,49,Female,Medium,London,1
Black,37,Female,Medium,London,0
White,34,Female,Low,North,1
Mixed,46,Female,Low,London,0
Mixed,56,Male,High,North,0
Mixed,49,Male,Low,South,1
Asian,21,Female,Low,South,1
Asian,41,Male,Medium,North,0
White,61,Male,Low,South,0
Mixed,59,Male,Low,North,0
Mixed,19,Female,Medium,South,0
Asian,31,Male,Low,London,0
Black,57,Male,Medium,London,1
White,59,Male,Medium,London,1
