Ethnicity,Age,Gender,SocioeconomicStatus,DisabilityStatus,Region,MigrationStatus,Outcome
White,72,Male,Unknown,No,Scotland,Migrant,1
White,46,Male,High,No,Wales,Unknown,0
White,76,Male,High,No,North West,UK-born,0
White,78,Male,Low,Yes,North West,UK-born,1
White,41,Female,Medium,No,North West,UK-born,0
Black,78,Male,Medium,No,North West,UK-born,1
White,44,Female,Medium,No,North West,UK-born,1
White,68,Male,High,No,Wales,Unknown,0
White,43,Female,Medium,No,South East,UK-born,0
Asian,37,Female,Low,No,South East,UK-born,0
White,21,Female,Medium,Yes,London,UK-born,0
White,39,Female,Low,No,Northern Ireland,UK-born,1
White,24,Female,High,No,Northern Ireland,UK-born,0
White,74,Female,Medium,Prefer not to say,South East,UK-born,1
Asian,79,Female,Medium,No,London,UK-born,1
White,75,Female,High,No,Other,UK-born,1
White,71,Female,Medium,No,North West,UK-born,0
Black,35,Female,Low,Yes,London,UK-born,1
Asian,27,Female,High,No,South East,UK-born,1
White,48,Male,Medium,No,Wales,Migrant,0
White,43,Male,High,No,London,UK-born,0
White,72,Male,Medium,No,North West,UK-born,0
White,64,Male,Medium,No,North West,UK-born,0
White,62,Female,Medium,Yes,Scotland,Migrant,0
Mixed,43,Male,Low,No,London,UK-born,0
White,79,Other,Medium,No,Other,UK-born,0
Asian,42,Male,High,No,London,UK-born,1
Mixed,73,Male,Low,No,Scotland,UK-born,0
White,69,Female,High,Prefer not to say,South East,Migrant,0
Mixed,35,Male,Medium,No,London,UK-born,0
Prefer not to say,41,Male,Medium,No,North West,UK-born,0
Asian,71,Female,High,No,London,UK-born,0
White,61,Female,Unknown,No,Scotland,UK-born,1
Mixed,32,Female,Medium,No,London,Migrant,1
Asian,25,Male,Medium,No,North West,UK-born,1
Asian,60,Male,Medium,No,South East,UK-born,0
Mixed,42,Female,High,No,Other,UK-born,0
Asian,52,Female,Low,No,Wales,UK-born,0
Asian,41,Male,High,No,Wales,UK-born,1
White,63,Male,High,No,Wales,UK-born,0
Asian,75,Female,High,Prefer not to say,Scotland,UK-born,1
Other,57,Female,High,No,London,Migrant,1
Asian,70,Prefer not to say,Low,No,Other,UK-born,0
Other,55,Female,Unknown,No,Scotland,UK-born,0
White,38,Prefer not to say,Medium,No,Northern Ireland,UK-born,1
White,71,Female,Low,No,North West,UK-born,0
White,18,Female,Medium,No,South East,UK-born,0
White,43,Male,Medium,Yes,North West,UK-born,1
White,27,Male,Low,No,South East,Migrant,0
White,43,Other,High,Yes,London,UK-born,1
Asian,19,Prefer not to say,High,No,Scotland,UK-born,0
Other,57,Female,High,Yes,Wales,UK-born,0
White,31,Male,Medium,No,London,UK-born,1
White,50,Other,Unknown,No,South East,UK-born,1
Prefer not to say,74,Female,Low,No,Scotland,Unknown,1
Mixed,56,Male,Low,No,South East,UK-born,1
Mixed,18,Male,Medium,No,Other,UK-born,0
White,47,Male,Low,No,London,UK-born,1
Asian,54,Female,High,No,Other,Unknown,1
White,35,Female,Medium,Yes,Other,UK-born,0
Asian,47,Male,Low,No,Other,UK-born,0
White,44,Male,High,No,London,UK-born,1
Asian,77,Non-binary,Low,No,South East,UK-born,0
White,66,Female,Low,Yes,South East,UK-born,0
