loan_approved,predicted_loan_approved,predicted_probability,derived_race,derived_ethnicity,derived_sex
1,1,0.8966662174988043,Asian,Ethnicity Not Available,Female
0,1,0.8514963935725246,White,Not Hispanic or Latino,Male
0,1,0.6735798928859896,White,Hispanic or Latino,Female
1,1,0.7944581024648341,Asian,Not Hispanic or Latino,Female
0,1,0.9896677143853959,White,Not Hispanic or Latino,Male
1,1,0.9592097099006298,Asian,Not Hispanic or Latino,Female
0,1,0.9417204702582176,White,Ethnicity Not Available,Male
1,1,0.9396698320136747,White,Not Hispanic or Latino,Male
0,1,0.8863209911054653,White,Not Hispanic or Latino,Joint
1,1,0.9247464050814332,White,Ethnicity Not Available,Female
0,1,0.9554113241056678,White,Not Hispanic or Latino,Joint
0,1,0.9581395691929043,White,Not Hispanic or Latino,Female
1,1,0.9613876780209641,White,Not Hispanic or Latino,Female
0,1,0.9910630654820529,White,Not Hispanic or Latino,Male
0,1,0.9611182155361264,White,Not Hispanic or Latino,Joint
1,1,0.5994975636780753,White,Not Hispanic or Latino,Joint
1,1,0.9160083979858752,White,Not Hispanic or Latino,Joint
1,1,0.9390579736885037,White,Not Hispanic or Latino,Male
1,1,0.7693374506881495,Asian,Not Hispanic or Latino,Male
1,1,0.9316644252233129,Asian,Not Hispanic or Latino,Male
1,1,0.7158318139478327,White,Not Hispanic or Latino,Joint
0,1,0.6801596291922091,White,Not Hispanic or Latino,Joint
0,0,0.3127579618095216,White,Ethnicity Not Available,Sex Not Available
1,1,0.8981252273106808,White,Not Hispanic or Latino,Joint
1,1,0.9524356351435761,White,Not Hispanic or Latino,Male
0,1,0.74579637848112,Asian,Not Hispanic or Latino,Male
1,1,0.6461768030214261,White,Hispanic or Latino,Female
1,1,0.6683702089139042,White,Not Hispanic or Latino,Male
0,1,0.7872045544216821,White,Not Hispanic or Latino,Joint
1,1,0.9832872600201041,American Indian or Alaska Native,Not Hispanic or Latino,Male
0,1,0.7686574569459219,Asian,Not Hispanic or Latino,Joint
0,1,0.5634249838201557,White,Not Hispanic or Latino,Joint
0,0,0.18100424725240657,Asian,Not Hispanic or Latino,Joint
1,1,0.86814577474568,White,Not Hispanic or Latino,Male
1,1,0.8508294138164275,White,Not Hispanic or Latino,Male
1,1,0.9468226139736424,White,Hispanic or Latino,Joint
0,0,0.3316211327200802,White,Not Hispanic or Latino,Joint
0,0,0.27640332587424693,White,Not Hispanic or Latino,Female
1,1,0.6909116526524058,White,Not Hispanic or Latino,Female
1,1,0.827265745241943,White,Not Hispanic or Latino,Joint
1,1,0.7820874450516948,White,Hispanic or Latino,Male
0,0,0.472493422056792,Black or African American,Not Hispanic or Latino,Male
1,1,0.9299459550391106,White,Not Hispanic or Latino,Joint
0,0,0.24882614457227673,White,Not Hispanic or Latino,Male
1,1,0.8355415733349267,White,Not Hispanic or Latino,Joint
1,1,0.8206048923566482,White,Hispanic or Latino,Male
1,1,0.982979815378228,White,Not Hispanic or Latino,Joint
0,0,0.20934224785535643,White,Hispanic or Latino,Male
1,1,0.9887560272870619,White,Not Hispanic or Latino,Joint
0,0,0.2088805333123694,White,Not Hispanic or Latino,Male
1,1,0.7213365721558231,White,Ethnicity Not Available,Joint
1,1,0.8169465378350462,White,Not Hispanic or Latino,Joint
1,1,0.9281663232134656,White,Not Hispanic or Latino,Joint
1,1,0.9458984337937668,Black or African American,Not Hispanic or Latino,Joint
1,1,0.6874243638805224,White,Not Hispanic or Latino,Joint
0,0,0.43979474696305654,White,Not Hispanic or Latino,Joint
0,1,0.8098094131642113,White,Not Hispanic or Latino,Joint
1,1,0.8924962758684856,Asian,Not Hispanic or Latino,Joint
0,1,0.9525532455345547,White,Not Hispanic or Latino,Male
0,0,0.3623829658344271,White,Not Hispanic or Latino,Joint
0,0,0.2580437313661422,White,Not Hispanic or Latino,Male
0,0,0.4367074781022617,White,Not Hispanic or Latino,Joint
1,1,0.8552254299459516,White,Not Hispanic or Latino,Joint
1,1,0.8930220620691758,White,Not Hispanic or Latino,Joint
1,1,0.5408657902774553,White,Not Hispanic or Latino,Male
1,1,0.827368082608791,White,Not Hispanic or Latino,Joint
1,1,0.8654130170865062,White,Not Hispanic or Latino,Joint
0,0,0.46794300403311817,White,Not Hispanic or Latino,Male
0,0,0.3197088454621227,White,Not Hispanic or Latino,Female
0,1,0.8036195826000316,White,Not Hispanic or Latino,Joint
0,0,0.2452781908167445,Asian,Not Hispanic or Latino,Female
1,1,0.9492542118757448,White,Not Hispanic or Latino,Joint
